Country;Total population a (000s);Life expectancy at birth a,b (years);;;Healthy life expectancy at birth a,b (years);Maternal mortality ratio c (per 100 000 live births);Proportion of births attended by skilled health personnel d (%);;Under-five mortality rate e (per 1000 live births);Neonatal mortality rate e (per 1000 live births);New HIV infections among adults 15-49 years old f (per 1000 uninfected population);TB incidence g (per 100 000 population);Malaria incidence h (per 1000 population at risk);Infants receiving three doses of hepatitis B vaccine i (%);Reported number of people requiring interventions against NTDs j;Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 k (%);;Suicide mortality rate k (per 100 000 population);Total alcohol per capita (> 15 years of age) consumption, in litres of pure alcohol, projected estimates l;Road traffic mortality rate m (per 100 000 population);Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods n (%);Adolescent birth rate o (per 1000 women aged 15-19 years);;Member State
;;Male;Female;Both sexes;;;;;;;;;;;;;;;;;;;;
;2015;2015;;;2015;2015;2006–2014;;2015;2015;2014;2014;2013;2014;2014;2012;;2012;2015;2013;2005–2015;2005–2015;;
Australia;23 969;80.9;84.8;82.8;71.9;6;99;ab;3.8;2.2;–;6.4;–;91;18 843;9.4;;11.6;12.6;5.4;–;14.2;;Australia
Austria;8 545;79.0;83.9;81.5;72.0;4;99;ab;3.5;2.1;–;7.8;–;83;14;12.0;;15.6;8.5;5.4;–;7.9;;Austria
Azerbaijan;9 754;69.6;75.8;72.7;64.7;25;97;ab;31.7;18.2;0.2;77;0.0;94; 1 678 393;23.3;;1.7;2.1;10.0;21.5;47.2;;Azerbaijan
Bahamas;388;72.9;79.1;76.1;66.6;80;98;ab;12.1;6.9;–;12;–;96;146;13.8;;2.3;4.2;13.8;–;34.6;;Bahamas
Bahrain;1 377;76.2;77.9;76.9;67.0;15;100;ab;6.2;1.1;–;14;–;99;8;13.3;;7.2;2.4;8.0;–;13.8;;Bahrain
Bangladesh;160 996;70.6;73.1;71.8;62.3;176;42;ab;37.6;23.3;<0.1;227;68.7;95; 49 873 889;17.5;;6.6;0.2;13.6;72.5;113.0;;Bangladesh
Barbados;284;73.1;77.9;75.5;66.6;27;99;;13.0;8.0;–;0.9;–;94;2 689;13.8;;2.6;6.5;6.7;70.0;49.7;;Barbados
Belarus;9 496;66.5;78.0;72.3;65.1;4;100;;4.6;1.9;0.6;58;–;97;–;26.2;;21.8;17.1;13.7;74.2;21.6;;Belarus
Belgium;11 299;78.6;83.5;81.1;71.1;7;–;;4.1;2.2;–;9.0;–;98;15;12.2;;17.8;10.8;6.7;–;7.2;;Belgium
Belize;359;67.5;73.1;70.1;62.3;28;95;;16.5;8.3;0.5;37;0.2;95;12 254;14.4;;2.2;8.3;24.4;73.1;64.0;;Belize
Benin;10 880;58.8;61.1;60.0;52.5;405;77;ab;99.5;31.8;0.6;61;303.0;70; 4 358 651;22.1;;3.7;2.2;27.7;24.5;94.0;;Benin
Bhutan;775;69.5;70.1;69.8;61.2;148;75;;32.9;18.3;–;164;<0.1;99;107 867;20.5;;16.0;1.1;15.1;84.6;28.4;;Bhutan
Bolivia (Plurinational State of);10 725;68.2;73.3;70.7;62.2;206;85;;38.4;19.6;0.2;120;5.1;94; 2 129 328;18.3;;11.7;5.8;23.2;42.8;115.6;;Bolivia (Plurinational State of)
Bosnia and Herzegovina;3 810;75.0;79.7;77.4;68.6;11;100;;5.4;4.0;–;42;–;89;–;17.5;;13.9;7.5;17.7;21.9;11.0;;Bosnia and Herzegovina
Botswana;2 262;63.3;68.1;65.7;56.9;129;100;;43.6;21.9;14.0;385;1.1;95;252 373;20.9;;3.2;7.7;23.6;–;39.0;;Botswana
Brazil;207 848;71.4;78.7;75.0;65.5;44;99;ab;16.4;8.9;–;44;9.9;96; 18 680 873;19.4;;6.0;9.1;23.4;89.3;64.8;;Brazil
Brunei Darussalam;423;76.3;79.2;77.7;70.4;23;100;ab;10.2;4.3;–;62;–;99;9 339;16.8;;6.2;0.8;8.1;–;16.6;;Brunei Darussalam
Bulgaria;7 150;71.1;78.0;74.5;66.4;11;94;;10.4;5.6;–;27;–;95;379;24.0;;14.5;11.3;8.3;–;40.8;;Bulgaria
Burkina Faso;18 106;59.1;60.5;59.9;52.6;371;66;;88.6;26.7;0.5;54;418.4;91; 14 961 395;23.8;;2.9;7.4;30.0;37.1;130.0;;Burkina Faso
Burundi;11 179;57.7;61.6;59.6;52.2;712;60;;81.7;28.6;0.1;126;269.4;95; 5 332 985;24.3;;16.4;9.8;31.3;32.6;85.0;;Burundi
Cabo Verde;521;71.3;75.0;73.3;64.4;42;92;;24.5;12.2;0.9;138;0.7;95;135 100;15.1;;3.9;7.2;26.1;73.2;–;;Cabo Verde
Cambodia;15 578;66.6;70.7;68.7;58.9;161;89;ab;28.7;14.8;<0.1;390;10.6;97; 5 566 529;17.7;;9.0;6.1;17.4;56.4;57.0;;Cambodia
Cameroon;23 344;55.9;58.6;57.3;50.3;596;65;ab;87.9;25.7;3.8;220;271.8;87; 19 449 659;19.9;;4.9;7.7;27.6;40.2;119.0;;Cameroon
Canada;35 940;80.2;84.1;82.2;72.3;7;98;ab;4.9;3.2;–;5.2;–;75;0;10.7;;11.4;10.3;6.0;–;12.6;;Canada
Central African Republic;4 900;50.9;54.1;52.5;45.9;882;40;;130.1;42.6;2.7;375;325.0;47; 4 050 725;18.5;;7.9;3.8;32.4;28.7;229.0;;Central African Republic
Chad;14 037;51.7;54.5;53.1;46.1;856;24;;138.7;39.3;1.5;159;157.9;46; 10 477 490;23.2;;2.7;4.4;24.1;17.5;203.4;;Chad
Chile;17 948;77.4;83.4;80.5;70.4;22;100;;8.1;4.9;0.2;16;–;92;30;11.9;;13.0;9.3;12.4;–;51.5;;Chile
China;1 383 925;74.6;77.6;76.1;68.5;27;100;;10.7;5.5;–;68;<0.1;99; 26 227 888;19.4;;8.7;7.6;18.8;–;6.2;;China
Colombia;48 229;71.2;78.4;74.8;65.1;64;99;;15.9;8.5;0.2;33;8.9;90; 4 524 693;12.4;;5.5;6.6;16.8;83.7;84.0;;Colombia
Comoros;788;61.9;65.2;63.5;55.9;335;82;;73.5;34.0;–;35;170.6;80;523 106;23.5;;10.5;0.2;28.0;27.8;70.0;;Comoros
Congo;4 620;63.2;66.3;64.7;56.6;442;94;;45.0;18.0;1.4;381;187.5;90; 3 568 201;19.8;;7.8;3.9;26.4;38.5;147.0;;Congo
Cook Islands;21;–;–;–;–;–;100;ab;8.1;4.4;–;12;–;99;22;–;;–;4.8;24.2;–;56.0;;Cook Islands
Costa Rica;4 808;77.1;82.2;79.6;69.7;25;99;;9.7;6.2;0.2;11;<0.1;91;41 518;12.2;;6.9;5.1;13.9;89.1;61.2;;Costa Rica
Côte d'Ivoire;22 702;52.3;54.4;53.3;47.0;645;56;;92.6;37.9;2.1;165;385.2;67; 18 131 745;23.3;;5.4;6.5;24.2;30.9;125.0;;Côte d'Ivoire
Croatia;4 240;74.7;81.2;78.0;69.4;8;100;;4.3;2.6;–;12;–;95;31;17.7;;16.5;11.7;9.2;–;11.8;;Croatia
Cuba;11 390;76.9;81.4;79.1;69.2;39;99;;5.5;2.3;0.3;9.4;–;96;52 997;16.5;;14.6;5.5;7.5;88.4;52.5;;Cuba
Cyprus;1 165;78.3;82.7;80.5;71.3;7;100;ab;2.7;1.5;–;5.3;–;96;6;9.5;;5.1;9.1;5.2;–;4.2;;Cyprus
Czech Republic;10 543;75.9;81.7;78.8;69.4;4;100;ab;3.4;1.8;–;4.6;–;99;6;17.0;;15.6;14.1;6.1;85.7;11.1;;Czech Republic
Democratic People's Republic of Korea;25 155;67.0;74.0;70.6;64.0;82;100;;24.9;13.5;–;442;2.1;93; 5 643 102;27.1;;–;4.4;20.8;76.7;0.7;;Democratic People's Republic of Korea
Democratic Republic of the Congo;77 267;58.3;61.5;59.8;51.7;693;80;;98.3;30.1;0.6;325;295.2;80; 57 568 918;23.6;;8.0;3.4;33.2;15.6;138.0;;Democratic Republic of the Congo
Denmark;5 669;78.6;82.5;80.6;71.2;6;98;ab;3.5;2.5;0.1;7.1;–;–;0;13.3;;11.2;10.2;3.5;–;2.4;;Denmark
Djibouti;888;61.8;65.3;63.5;55.8;229;87;ab;65.3;33.4;1.1;619;25.0;78;107 995;18.8;;10.7;0.9;24.7;–;20.6;;Djibouti
Dominica;73;–;–;–;–;–;100;ab;21.2;15.6;–;0.7;–;97;8 063;–;;–;6.6;15.3;–;47.2;ac;Dominica
Dominican Republic;10 528;70.9;77.1;73.9;65.1;92;98;ab;30.9;21.7;0.4;60;0.2;89; 1 192 636;14.8;;3.6;7.6;29.3;84.1;90.0;;Dominican Republic
Ecuador;16 144;73.5;79.0;76.2;67.0;64;96;;21.6;10.8;0.2;54;<0.1;83; 1 806 145;11.9;;8.9;6.1;20.1;80.7;–;;Ecuador
Egypt;91 508;68.8;73.2;70.9;62.2;33;92;;24.0;12.8;<0.1;15;–;94; 1 117 250;24.5;;1.6;0.3;12.8;80.0;56.0;;Egypt
El Salvador;6 127;68.8;77.9;73.5;64.1;54;98;ab;16.8;8.3;0.2;41;<0.1;93;874 565;16.9;;12.8;3.5;21.1;81.9;72.0;;El Salvador
Equatorial Guinea;845;56.6;60.0;58.2;51.2;342;68;ab;94.1;33.1;2.9;162;211.1;24;465 062;23.4;;13.9;8.1;22.9;20.5;176.0;;Equatorial Guinea
Eritrea;5 228;62.4;67.0;64.7;55.9;501;34;;46.5;18.4;0.2;78;17.4;94;976 756;24.2;;8.3;1.4;24.1;19.6;76.0;;Eritrea
Estonia;1 313;72.7;82.0;77.6;68.9;9;99;ab;2.9;1.5;–;20;–;93;1;18.8;;18.7;–;7.0;–;15.6;;Estonia
Ethiopia;99 391;62.8;66.8;64.8;56.1;353;16;;59.2;27.7;–;207;117.8;77; 67 843 988;15.2;;7.5;4.3;25.3;57.6;71.2;;Ethiopia
Fiji;892;67.0;73.1;69.9;62.9;30;99;;22.4;9.6;0.2;67;–;99;899 436;30.8;;5.9;3.2;5.8;–;27.5;;Fiji
Finland;5 503;78.3;83.8;81.1;71.0;3;100;ab;2.3;1.3;–;5.6;–;–;0;11.2;;16.7;11.9;4.8;–;7.3;;Finland
France;64 395;79.4;85.4;82.4;72.6;8;98;ab;4.3;2.2;–;8.7;–;82;178;11.4;;15.8;11.6;5.1;95.5;6.2;;France
Gabon;1 725;64.7;67.2;66.0;57.2;291;89;ab;50.8;23.2;1.4;444;210.6;70; 1 534 672;15.0;;7.0;11.8;22.9;33.7;115.0;;Gabon
Gambia;1 991;59.8;62.5;61.1;53.8;706;57;;68.9;29.9;1.1;174;233.1;96; 1 200 503;19.1;;3.2;3.2;29.4;23.9;88.0;;Gambia
Georgia;4 000;70.3;78.3;74.4;66.5;36;100;;11.9;7.2;0.3;106;0.0;91;79;21.6;;3.8;6.7;11.8;52.8;41.5;;Georgia
Germany;80 689;78.7;83.4;81.0;71.3;6;99;ab;3.7;2.1;–;6.2;–;87;265;12.3;;13.0;10.6;4.3;–;7.8;;Germany
Ghana;27 410;61.0;63.9;62.4;55.3;319;71;;61.6;28.3;0.7;165;318.5;98; 18 697 745;20.3;;2.3;5.4;26.2;44.6;65.0;;Ghana
Greece;10 955;78.3;83.6;81.0;71.9;3;–;;4.6;2.9;–;4.8;–;96;73;12.9;;4.9;9.3;9.1;–;8.3;;Greece
Grenada;107;71.2;76.1;73.6;65.0;27;99;ab;11.8;6.0;–;1.3;–;97;39;–;;–;10.4;–;–;–;;Grenada
Guatemala;16 343;68.5;75.2;71.9;62.1;88;66;;29.1;13.4;0.3;57;2.2;73; 3 255 245;13.5;;7.3;3.9;19.0;65.5;91.0;ac;Guatemala
Guinea;12 609;58.2;59.8;59.0;51.7;679;45;ab;93.7;31.3;1.1;177;403.4;51; 8 842 314;20.9;;3.3;0.7;27.3;15.7;146.0;;Guinea
Guinea-Bissau;1 844;57.2;60.5;58.9;51.5;549;45;ab;92.5;39.7;2.5;369;112.1;80; 1 884 916;22.4;;3.1;4.3;27.5;37.6;136.7;;Guinea-Bissau
Guyana;767;63.9;68.5;66.2;58.9;229;92;ab;39.4;22.8;2.0;103;129.3;98;720 357;28,4;ad;34.8;8.6;17.3;52.5;101.0;;Guyana
Haiti;10 711;61.5;65.5;63.5;55.4;359;37;;69.0;25.4;1.1;200;13.6;48; 11 358 721;23.9;;2.3;5.9;15.1;44.8;66.0;;Haiti
Honduras;8 075;72.3;77.0;74.6;64.9;129;83;;20.4;11.0;0.1;43;3.2;85; 2 709 120;15.7;;4.9;4.0;17.4;76.0;101.0;;Honduras
Hungary;9 855;72.3;79.1;75.9;67.4;17;99;ab;5.9;3.5;–;12;–;–;2;24.0;;25.4;12.4;7.7;–;19.8;;Hungary
Iceland;329;81.2;84.1;82.7;72.7;3;–;;2.0;0.9;–;3.3;–;–;0;10.2;;15.1;6.9;4.6;–;7.1;;Iceland
India;1 311 051;66.9;69.9;68.3;59.5;174;74;ab;47.7;27.7;–;167;23.7;70; 577 240 673;26.2;;20.9;4.6;16.6;63.9;28.1;;India
Indonesia;257 564;67.1;71.2;69.1;62.2;126;87;;27.2;13.5;0.5;399;41.8;78; 127 979 175;23.1;;3.7;0.6;15.3;78.8;47.0;;Indonesia
Iran (Islamic Republic of);79 109;74.5;76.6;75.5;66.6;25;96;;15.5;9.5;0.2;22;<0.1;99;14 373;17.3;;5.3;1.0;32.1;68.6;37.7;;Iran (Islamic Republic of)
Iraq;36 423;66.2;71.8;68.9;60.0;50;91;;32.0;18.4;–;43;0.0;62; 2 044 142;23.7;;1.1;0.5;20.2;59.3;82.0;;Iraq
Ireland;4 688;79.4;83.4;81.4;71.5;8;100;ab;3.6;2.3;0.2;7.4;–;95;0;11.1;;11.5;10.9;4.1;–;9.2;;Ireland
Israel;8 064;80.6;84.3;82.5;72.8;5;–;;4.0;2.1;–;5.8;–;97;471;9.5;;6.2;3.1;3.6;–;10.2;;Israel
Italy;59 798;80.5;84.8;82.7;72.8;4;100;ab;3.5;2.1;–;6.0;–;94;418;9.8;;6.4;6.1;6.1;–;5.8;;Italy
Jamaica;2 793;73.9;78.6;76.2;66.9;89;99;;15.7;11.6;1.0;4.7;–;92;411 692;17.0;;1.2;5.1;11.5;83.0;45.7;;Jamaica
Japan;126 573;80.5;86.8;83.7;74.9;5;100;ab;2.7;0.9;–;18;–;–;–;9.3;;23.1;7.5;4.7;–;4.4;;Japan
Jordan;7 595;72.5;75.9;74.1;65.0;58;100;;17.9;10.6;–;5.5;–;98;236;19.8;;1.6;0.7;26.3;58.0;26.0;;Jordan
Kazakhstan;17 625;65.7;74.7;70.2;63.3;12;100;;14.1;7.0;0.2;99;–;95;–;33.9;;24.2;8.2;24.2;79.6;36.4;;Kazakhstan
Kenya;46 050;61.1;65.8;63.4;55.6;510;62;;49.4;22.2;2.3;246;266.3;81; 12 294 911;18.1;;10.8;4.0;29.1;75.4;96.0;;Kenya
Kiribati;112;63.7;68.8;66.3;59.1;90;80;;55.9;23.7;–;497;–;75;115 336;–;;–;2.9;2.9;35.8;49.9;;Kiribati
Kuwait;3 892;73.7;76.0;74.7;65.8;4;100;ab;8.6;3.2;–;21;–;96;29;11.8;;1.0;0.1;18.7;–;7.1;;Kuwait
Kyrgyzstan;5 940;67.2;75.1;71.1;63.8;76;98;;21.3;11.5;0.2;142;0.0;96;111 553;28.5;;8.9;3.9;22.0;62.1;42.1;;Kyrgyzstan
Lao People's Democratic Republic;6 802;64.1;67.2;65.7;57.9;197;40;;66.7;30.1;0.2;189;29.8;88; 2 183 445;24.2;;6.4;7.5;14.3;61.3;94.0;;Lao People's Democratic Republic
Latvia;1 971;69.6;79.2;74.6;67.1;18;98;ab;7.9;5.2;–;49;–;92;13;24.1;;21.8;10.6;10.0;–;15.3;;Latvia
Lebanon;5 851;73.5;76.5;74.9;65.7;15;–;;8.3;4.8;<0.1;16;–;81;–;12.4;;0.9;2.2;22.6;–;–;;Lebanon
Lesotho;2 135;51.7;55.4;53.7;46.6;487;78;;90.2;32.7;20.1;852;–;96;517 204;23.9;;5.4;6.4;28.2;76.1;94.0;;Lesotho
Liberia;4 503;59.8;62.9;61.4;52.7;725;61;ab;69.9;24.1;0.6;308;368.8;50; 3 892 705;21.2;;2.6;5.2;33.7;37.2;147.0;;Liberia
Libya;6 278;70.1;75.6;72.7;63.8;9;100;;13.4;7.2;–;40;–;94;1 634;17.6;;1.5;0.0;73.4;29.6;6.0;;Libya
Lithuania;2 878;68.1;79.1;73.6;66.0;10;100;ab;5.2;2.5;–;62;–;94;22;22.4;;33.5;16.2;10.6;–;13.9;;Lithuania
Luxembourg;567;79.8;84.0;82.0;71.8;10;100;ab;1.9;0.9;–;6.6;–;94;0;11.4;;10.9;11.2;8.7;–;6.4;;Luxembourg
Madagascar;24 235;63.9;67.0;65.5;56.9;353;44;;49.6;19.7;0.2;235;83.3;73; 20 491 358;23.4;;7.3;1.9;28.4;49.6;148.0;;Madagascar
Malawi;17 215;56.7;59.9;58.3;51.2;634;87;ab;64.0;21.8;4.5;227;217.8;91; 11 136 578;18.7;;8.6;2.5;35.0;73.6;143.0;;Malawi
Malaysia;30 331;72.7;77.3;75.0;66.5;40;99;ab;7.0;3.9;0.3;103;3.2;96;225 248;19.6;;2.6;1.7;24.0;–;12.7;;Malaysia
Maldives;364;76.9;80.2;78.5;69.6;68;96;;8.6;4.9;–;41;–;99;747;15.9;;5.0;1.0;3.5;42.7;13.7;;Maldives
Mali;17 600;58.2;58.3;58.2;51.1;587;57;;114.7;37.8;1.3;58;460.9;77; 19 462 713;25.6;;2.8;1.0;25.6;27.3;172.0;;Mali
Malta;419;79.7;83.7;81.7;71.7;9;100;ab;6.4;4.4;–;12;–;90;–;11.6;;6.8;7.2;5.1;–;13.1;;Malta
Marshall Islands;53;–;–;–;–;–;90;;36.0;16.7;–;335;–;79;21 468;–;;–;–;5.7;80.5;85.0;;Marshall Islands
Mauritania;4 068;61.6;64.6;63.1;55.1;602;65;;84.7;35.7;0.4;111;24.9;84;762 932;15.8;;1.8;0.1;24.5;23.8;71.0;;Mauritania
Mauritius;1 273;71.4;77.8;74.6;66.8;53;100;ab;13.5;8.4;0.4;22;–;97;–;24.0;;8.5;4.0;12.2;40.8;29.4;;Mauritius
Mexico;127 017;73.9;79.5;76.7;67.4;38;99;;13.2;7.0;0.1;21;0.2;84; 10 287 100;15.7;;4.1;6.8;12.3;81.9;70.9;;Mexico
Micronesia (Federated States of);104;68.1;70.6;69.4;62.5;100;100;ab;34.7;18.8;–;195;–;83;52 463;–;;–;3.5;1.9;–;32.6;;Micronesia (Federated States of)
Monaco;38;–;–;–;–;–;–;;3.5;1.9;–;2.2;–;99;0;–;;–;–;0.0;–;–;;Monaco
Mongolia;2 959;64.7;73.2;68.8;62.0;44;99;ab;22.4;11.1;–;170;–;99;0;32.0;;9.3;7.8;21.0;68.3;26.7;;Mongolia
Montenegro;626;74.1;78.1;76.1;67.9;7;99;;4.7;3.1;–;21;–;87;–;22.2;;18.9;11.5;11.9;34.2;13.4;;Montenegro
Morocco;34 378;73.3;75.4;74.3;64.9;121;74;;27.6;17.6;0.1;106;–;99;4 025;22.8;;5.0;0.7;20.8;74.8;32.0;;Morocco
Mozambique;27 978;55.7;59.4;57.6;49.6;489;54;ab;78.5;27.1;7.4;551;352.3;78; 22 815 820;17.3;;17.3;2.0;31.6;28.2;167.0;;Mozambique
Myanmar;53 897;64.6;68.5;66.6;59.2;178;78;ab;50.0;26.4;0.3;369;45.0;75; 40 777 860;24.3;;12.4;0.7;20.3;–;30.3;;Myanmar
Namibia;2 459;63.1;68.3;65.8;57.5;265;88;;45.4;15.9;9.1;561;5.4;88; 1 049 353;20.0;;2.0;11.8;23.9;75.1;82.0;;Namibia
Nauru;10;–;–;–;–;–;97;ab;35.4;22.7;–;73;–;95;2 751;–;;–;3.0;–;42.5;105.3;ac;Nauru
Nepal;28 514;67.7;70.8;69.2;61.1;258;48;ab;35.8;22.2;<0.1;158;1.2;92; 21 352 583;21.6;;20.3;2.1;17.0;56.0;71.0;;Nepal
Netherlands;16 925;80.0;83.6;81.9;72.2;7;–;;3.8;2.4;–;5.8;–;95;30;12.2;;10.0;9.6;3.4;–;4.5;;Netherlands
New Zealand;4 529;80.0;83.3;81.6;71.6;11;97;ab;5.7;3.1;–;7.4;–;93;–;10.7;;10.3;11.2;6.0;–;19.1;;New Zealand
Nicaragua;6 082;71.5;77.9;74.8;63.7;150;88;ab;22.1;9.8;0.2;58;1.6;98; 1 214 110;19.4;;9.1;4.6;15.3;84.0;92.0;;Nicaragua
Niger;19 899;60.9;62.8;61.8;54.2;553;29;;95.5;26.8;<0.1;98;317.1;68; 14 885 196;19.6;;1.8;0.3;26.4;40.8;206.0;;Niger
Nigeria;182 202;53.4;55.6;54.5;47.7;814;35;;108.8;34.3;2.0;322;342.9;66; 140 381 164;19.8;;4.3;11.3;20.5;28.8;122.0;;Nigeria
Niue;2;–;–;–;–;–;100;ab;23.0;12.5;–;0.0;–;99;0;–;;–;7.7;–;–;14.3;;Niue
Norway;5 211;79.8;83.7;81.8;72.0;5;99;;2.6;1.5;0.1;8.1;–;–;7;10.7;;10.2;7.0;3.8;–;5.0;;Norway
Oman;4 491;75.0;79.2;76.6;66.7;17;99;;11.6;5.2;0.1;9.6;0.0;98;–;17.8;;1.0;0.9;25.4;19.1;13.5;;Oman
Pakistan;188 925;65.5;67.5;66.4;57.8;178;52;ab;81.1;45.5;0.2;270;12.8;73; 47 386 262;20.5;;7.5;0.1;14.2;47.0;44.0;;Pakistan
Palau;21;–;–;–;–;–;100;;16.4;9.0;–;42;–;99;–;–;;–;–;4.8;–;27.0;;Palau
Panama;3 929;74.7;81.1;77.8;68.1;94;91;;17.0;9.6;0.3;46;0.5;80;400 364;12.5;;4.4;7.7;10.0;75.9;91.1;;Panama
Papua New Guinea;7 619;60.6;65.4;62.9;56.4;215;43;ab;57.3;24.5;0.4;417;185.1;62; 6 327 334;26.4;;7.7;3.1;16.8;40.6;–;;Papua New Guinea
Paraguay;6 639;72.2;76.0;74.0;65.2;132;96;ab;20.5;10.9;0.5;43;0.0;87;815 045;18.5;;5.3;9.6;20.7;84.1;63.0;;Paraguay
Peru;31 377;73.1;78.0;75.5;65.6;68;90;;16.9;8.2;0.1;120;30.4;88; 3 011 439;11.2;;3.1;5.2;13.9;62.7;65.0;;Peru
Philippines;100 699;65.3;72.0;68.5;61.1;114;73;;28.0;12.6;0.1;288;0.4;79; 44 803 112;27.9;;2.6;5.6;10.5;51.5;57.0;;Philippines
Poland;38 612;73.6;81.3;77.5;68.7;3;100;ab;5.2;3.1;<0.1;21;–;96;48;20.0;;20.5;11.5;10.3;–;14.0;;Poland
Portugal;10 350;78.2;83.9;81.1;71.4;10;99;;3.6;2.0;–;25;–;98;75;11.9;;12.5;12.5;7.8;–;10.5;;Portugal
Qatar;2 235;77.4;80.0;78.2;67.7;13;100;;8.0;3.8;–;29;–;99;48;14.2;;4.7;1.3;15.2;68.9;13.4;;Qatar
Republic of Korea;50 293;78.8;85.5;82.3;73.2;11;100;ab;3.4;1.6;–;86;0.2;99;6;9.3;;36.8;10.9;12.0;–;1.7;;Republic of Korea
Republic of Moldova;4 069;67.9;76.2;72.1;64.8;23;99;;15.8;11.9;0.6;153;–;92;–;26.5;;17.0;17.4;12.5;60.4;26.7;;Republic of Moldova
Romania;19 511;71.4;78.8;75.0;66.8;31;99;ab;11.1;6.3;–;81;–;94;–;22.6;;12.8;12.9;8.7;–;38.9;;Romania
Russian Federation;143 457;64.7;76.3;70.5;63.3;25;100;ab;9.6;5.0;–;84;0.0;97;–;29.9;;22.3;14.5;18.9;72.4;26.6;;Russian Federation
Rwanda;11 610;60.9;71.1;66.1;56.6;290;91;ab;41.7;18.7;1.1;63;121.1;99; 4 148 711;19.1;;7.6;10.0;32.1;65.0;45.0;;Rwanda
Saint Kitts and Nevis;56;–;–;–;–;–;100;ab;10.5;6.5;–;7.2;–;98;0;–;;–;7.0;–;–;–;;Saint Kitts and Nevis
Saint Lucia;185;72.6;77.9;75.2;66.1;48;99;;14.3;9.3;–;9.1;–;99;36 119;–;;–;10.4;18.1;72.4;42.5;;Saint Lucia
Saint Vincent and the Grenadines;109;71.3;75.2;73.2;64.6;45;99;ab;18.3;11.5;–;24;–;98;0;–;;–;7.2;8.2;–;70.0;;Saint Vincent and the Grenadines
Samoa;193;70.9;77.5;74.0;66.6;51;83;ab;17.5;9.5;–;19;–;91;182 172;–;;–;–;15.8;39.4;44.0;;Samoa
San Marino;32;–;–;–;–;–;–;;2.9;0.7;–;1.6;–;80;0;–;;–;–;3.2;–;1.3;ac;San Marino
Sao Tome and Principe;190;65.6;69.4;67.5;59.1;156;93;ab;47.3;17.1;0.1;97;93.0;95;194 856;–;;–;6.8;31.1;50.3;92.0;;Sao Tome and Principe
Saudi Arabia;31 540;73.2;76.0;74.5;64.5;12;98;ab;14.5;7.9;–;12;<0.1;98;1 968;16.7;;0.3;0.2;27.4;–;17.6;;Saudi Arabia
Senegal;15 129;64.6;68.6;66.7;58.3;315;59;;47.2;20.8;<0.1;138;128.1;89; 11 792 254;16.7;;3.2;0.5;27.2;46.3;80.0;;Senegal
Serbia;8 851;72.9;78.4;75.6;67.7;17;98;;6.7;4.2;–;24;–;92;7;24.5;;16.8;12.9;7.7;25.1;22.0;;Serbia
